COUNTYNAME,TOWNNAME,TOWNCODE,AREA,POPULARITY,人口密度
屏東縣,來義鄉,10013300,167.78 ,7355.00 ,43.84 
屏東縣,春日鄉,10013310,160.00 ,4860.00 ,30.37 
屏東縣,獅子鄉,10013320,301.00 ,4905.00 ,16.30 
屏東縣,牡丹鄉,10013330,181.84 ,4707.00 ,25.89 
臺東縣,臺東市,10014010,109.77 ,103115.00 ,939.38 
臺東縣,成功鎮,10014020,143.99 ,12926.00 ,89.77 
臺東縣,關山鎮,10014030,58.74 ,7954.00 ,135.42 
臺東縣,卑南鄉,10014040,412.69 ,16472.00 ,39.91 
臺東縣,大武鄉,10014050,69.15 ,5465.00 ,79.04 
臺東縣,太麻里鄉,10014060,96.65 ,10569.00 ,109.35 
臺東縣,東河鄉,10014070,210.19 ,7822.00 ,37.21 
臺東縣,長濱鄉,10014080,155.19 ,6538.00 ,42.13 
臺東縣,鹿野鄉,10014090,89.70 ,7047.00 ,78.56 
臺東縣,池上鄉,10014100,82.69 ,7696.00 ,93.08 
臺東縣,綠島鄉,10014110,15.09 ,4385.00 ,290.55 
臺東縣,延平鄉,10014120,455.88 ,3557.00 ,7.80 
臺東縣,海端鄉,10014130,880.04 ,4300.00 ,4.89 
臺東縣,達仁鄉,10014140,306.45 ,3409.00 ,11.12 
臺東縣,金峰鄉,10014150,380.66 ,3687.00 ,9.69 
臺東縣,蘭嶼鄉,10014160,48.39 ,5277.00 ,109.05 
花蓮縣,花蓮市,10015010,29.41 ,98324.00 ,3343.27 
花蓮縣,鳳林鎮,10015020,120.52 ,10306.00 ,85.51 
花蓮縣,玉里鎮,10015030,252.37 ,21670.00 ,85.87 
花蓮縣,新城鄉,10015040,29.41 ,20323.00 ,691.04 
花蓮縣,吉安鄉,10015050,65.26 ,83135.00 ,1273.94 
花蓮縣,壽豐鄉,10015060,218.44 ,16737.00 ,76.62 
花蓮縣,光復鄉,10015070,157.11 ,11534.00 ,73.41 
花蓮縣,豐濱鄉,10015080,162.43 ,4147.00 ,25.53 
花蓮縣,瑞穗鄉,10015090,135.59 ,10584.00 ,78.06 
花蓮縣,富里鄉,10015100,176.37 ,9530.00 ,54.03 
花蓮縣,秀林鄉,10015110,1641.86 ,17095.00 ,10.41 
花蓮縣,萬榮鄉,10015120,618.49 ,6070.00 ,9.81 
花蓮縣,卓溪鄉,10015130,1021.31 ,5919.00 ,5.80 
澎湖縣,馬公市,10016010,33.99 ,64078.00 ,1885.10 
澎湖縣,湖西鄉,10016020,33.30 ,16124.00 ,484.19 
澎湖縣,白沙鄉,10016030,20.09 ,10137.00 ,504.64 
澎湖縣,西嶼鄉,10016040,18.71 ,8207.00 ,438.53 
澎湖縣,望安鄉,10016050,13.78 ,5424.00 ,393.55 
澎湖縣,七美鄉,10016060,6.99 ,3931.00 ,562.63 
基隆市,中正區,10017010,10.21 ,50950.00 ,4989.33 
基隆市,七堵區,10017020,56.27 ,52528.00 ,933.57 
